"marker","cluster","pValue_BvsC1D1","mean(C1D1-B)","pValue_C1D1vsC2D1","mean(C2D1-C1D1)","pValue_BvsC2D2","mean(C2D1-B)"
"CD3","B","0.646","0.006","0.641","-0.005","0.641","0.001"
"CD19","B","0","0.093","0.109","-0.054","0.008","0.078"
"CD117","B","0","0.009","0.109","-0.005","0.313","0.007"
"CD11B","B","0.002","0.019","0.844","0.004","0.016","0.024"
"CD4","B","0.662","0.006","0.148","0.011","0.078","0.016"
"CD8","B","0.109","0.012","0.547","0.009","0.148","0.025"
"CXCR2","B","0.937","0","0.945","0.001","0.945","0"
"CD14","B","0.711","0.005","0.742","-0.006","0.383","0.009"
"CD1C","B","0.001","0.12","0.078","-0.054","0.148","0.118"
"FCERI","B","0.053","0.005","1","0.006","0.641","0.004"
"CD103","B","0.451","0.001","0.461","0.001","0.547","0"
"CD66B","B","0.662","-0.002","0.109","0.004","0.109","0.004"
"CCR2","B","0.018","0.019","0.383","0.011","0.055","0.022"
"CD163","B","0.884","0","1","0","0.383","0.001"
"CD123","B","0","-0.045","0.023","-0.08","0.008","-0.147"
"CCR5","B","0.126","0.006","0.945","0","0.844","0.006"
"CLEC9A","B","0.016","0.013","0.742","0.003","0.383","0.01"
"CD11C","B","0","0.081","0.547","0.075","0.008","0.149"
"CD141","B","0.007","0.004","0.547","0.002","0.313","0.003"
"CD80","B","0.018","0.008","0.945","-0.004","0.641","0.004"
"TLR4","B","0.011","0.007","0.641","-0.002","0.055","0.007"
"CD172AB","B","0.019","0.014","0.742","0.001","0.148","0.012"
"CD40","B","0","-0.263","1","0.011","0.023","-0.188"
"PDL2","B","0.12","-0.01","0.461","0.018","0.844","0.001"
"CCR7","B","0.35","-0.038","0.195","0.1","0.844","0.057"
"CD206","B","0","-0.027","0.945","0.001","0.055","-0.015"
"CD33","B","0.284","0.004","0.313","0.006","0.25","0.01"
"HLADR","B","0","-0.164","0.742","0.005","0.078","-0.075"
"CD68","B","0.012","-0.015","0.945","0.003","0.641","0.006"
"CD15","B","0.937","0","0.945","0.005","0.313","0.011"
"CXCR4","B","0.762","0.049","0.641","0.101","0.25","0.188"
"CD116","B","0.479","0.015","0.844","0.007","0.547","0.023"
"PDL1","B","0","0.015","0.148","0.012","0.008","0.028"
"CD135","B","0.095","0.003","0.945","-0.001","0.641","0.002"
"CD16","B","0.374","0.002","0.25","-0.006","0.742","-0.002"
"Arg1","B","0.15","-0.005","0.844","-0.003","0.25","-0.009"
"CD3","cDC1","0.013","-0.015","0.742","0.005","0.313","-0.029"
"CD19","cDC1","0.973","-0.001","0.945","0.007","0.742","0.006"
"CD117","cDC1","0.745","0.001","0.742","0.002","0.844","0.002"
"CD11B","cDC1","0","0.092","0.742","-0.015","0.148","0.092"
"CD4","cDC1","0.006","-0.035","0.016","-0.039","0.016","-0.079"
"CD8","cDC1","0.032","-0.016","0.547","0.013","0.547","-0.017"
"CXCR2","cDC1","0.032","-0.016","0.641","0.009","0.148","-0.021"
"CD14","cDC1","0.115","-0.024","1","-0.007","0.383","-0.019"
"CD1C","cDC1","0.01","-0.016","0.742","-0.003","0.039","-0.032"
"FCERI","cDC1","0.001","-0.04","0.641","-0.008","0.023","-0.088"
"CD103","cDC1","0.374","0","0.383","-0.008","0.195","-0.007"
"CD66B","cDC1","0.295","0.002","0.945","0","0.547","0.001"
"CCR2","cDC1","0.362","-0.024","0.25","-0.051","0.109","-0.115"
"CD163","cDC1","0.582","-0.002","0.844","0.001","0.461","-0.003"
"CD123","cDC1","0.884","0.01","0.945","0.006","0.461","0.02"
"CCR5","cDC1","0","0.265","0.742","-0.033","0.016","0.259"
"CLEC9A","cDC1","0","0.039","0.313","0.049","0.078","0.087"
"CD11C","cDC1","0.028","0.066","0.383","-0.062","0.383","0.047"
"CD141","cDC1","1","0.001","0.023","0.157","0.641","0.038"
"CD80","cDC1","0.21","-0.007","0.547","-0.006","0.078","-0.026"
"TLR4","cDC1","0.01","0.028","0.383","0.019","0.055","0.032"
"CD172AB","cDC1","0.066","0.047","0.195","-0.07","1","-0.008"
"CD40","cDC1","0","0.044","0.313","0.054","0.016","0.126"
"PDL2","cDC1","0.374","0.029","0.055","0.095","0.313","0.092"
"CCR7","cDC1","0.695","-0.003","0.25","0.049","0.844","0.041"
"CD206","cDC1","0","0.03","0.547","-0.008","0.313","0.029"
"CD33","cDC1","0","-0.116","0.078","-0.059","0.016","-0.144"
"HLADR","cDC1","0.144","0.063","0.383","0.088","0.055","0.136"
"CD68","cDC1","0","0.049","0.461","0.02","0.008","0.065"
"CD15","cDC1","0.399","0.001","0.945","-0.001","0.844","0"
"CXCR4","cDC1","0.63","-0.019","0.844","0.012","0.547","-0.079"
"CD116","cDC1","0.026","-0.049","0.055","-0.084","0.016","-0.115"
"PDL1","cDC1","0.001","0.024","0.641","0.01","0.109","0.028"
"CD135","cDC1","0.03","-0.007","0.945","-0.002","0.148","-0.018"
"CD16","cDC1","0.164","0.02","0.25","0.024","0.742","0.026"
"Arg1","cDC1","0.762","0.003","0.383","-0.015","0.461","-0.018"
"CD3","cDC2","0.178","-0.02","0.547","-0.008","0.039","-0.047"
"CD19","cDC2","0.053","0.018","0.641","-0.008","0.461","0.023"
"CD117","cDC2","0.02","0.013","0.547","-0.004","1","0.002"
"CD11B","cDC2","0.001","0.14","0.742","0.049","0.039","0.227"
"CD4","cDC2","0.005","-0.051","0.109","-0.055","0.078","-0.111"
"CD8","cDC2","0.399","0.012","0.945","-0.002","0.547","0.032"
"CXCR2","cDC2","0.081","0.011","0.547","-0.009","0.383","0.012"
"CD14","cDC2","0","0.249","0.742","-0.003","0.109","0.314"
"CD1C","cDC2","0.598","-0.043","0.547","0.083","0.742","-0.014"
"FCERI","cDC2","0.012","-0.092","0.195","-0.106","0.039","-0.177"
"CD103","cDC2","0","0.036","0.461","-0.01","0.109","0.018"
"CD66B","cDC2","0.831","0","0.641","0.002","0.547","0.004"
"CCR2","cDC2","0","0.224","0.547","0.038","0.016","0.168"
"CD163","cDC2","0.479","0.038","0.945","-0.048","0.742","0.041"
"CD123","cDC2","0.001","-0.091","0.313","0.043","0.148","-0.059"
"CCR5","cDC2","0.003","0.089","0.844","0.023","0.148","0.091"
"CLEC9A","cDC2","0.104","0.008","0.742","-0.009","0.742","-0.008"
"CD11C","cDC2","0","0.131","0.383","-0.055","0.148","0.123"
"CD141","cDC2","0.614","0.009","0.383","0.091","0.25","0.089"
"CD80","cDC2","0.095","0.009","0.461","-0.009","0.25","0.006"
"TLR4","cDC2","0","0.094","0.742","0.024","0.055","0.103"
"CD172AB","cDC2","0.001","0.136","0.945","-0.005","0.313","0.151"
"CD40","cDC2","0","0.036","0.313","0.044","0.008","0.1"
"PDL2","cDC2","0.001","0.056","0.383","0.029","0.195","0.061"
"CCR7","cDC2","0.032","-0.016","0.844","-0.006","0.008","-0.035"
"CD206","cDC2","0","0.132","0.641","0.016","0.313","0.075"
"CD33","cDC2","0.425","-0.016","0.25","-0.052","0.25","-0.066"
"HLADR","cDC2","0","-0.118","0.313","-0.048","0.109","-0.149"
"CD68","cDC2","0.002","-0.021","0.25","-0.009","0.078","-0.027"
"CD15","cDC2","0.007","-0.01","0.844","0.002","0.078","-0.013"
"CXCR4","cDC2","0.762","-0.063","0.742","0.021","0.547","-0.195"
"CD116","cDC2","0.451","-0.028","0.148","-0.051","0.055","-0.114"
"PDL1","cDC2","0","0.02","0.461","0.017","0.039","0.039"
"CD135","cDC2","0.646","0.042","0.742","0.015","0.195","-0.032"
"CD16","cDC2","0.032","0.006","0.313","0.009","0.25","0.015"
"Arg1","cDC2","0.001","0.06","1","-0.011","0.461","0.063"
"CD3","DNT","0.493","0.024","0.313","-0.055","0.383","-0.045"
"CD19","DNT","0.902","0","0.25","-0.01","0.078","-0.016"
"CD117","DNT","0.126","0.003","0.016","-0.016","0.148","-0.007"
"CD11B","DNT","0.202","-0.023","0.547","-0.021","0.945","-0.009"
"CD4","DNT","0.479","0.005","0.742","-0.002","0.742","0.005"
"CD8","DNT","0.001","0.059","0.195","-0.055","0.547","0.021"
"CXCR2","DNT","0.05","-0.009","0.844","0.002","0.844","0.001"
"CD14","DNT","0.194","0.018","0.461","-0.028","0.945","-0.009"
"CD1C","DNT","0.164","0","0.25","0.004","0.945","0"
"FCERI","DNT","0.305","0.003","0.313","-0.022","0.313","0.008"
"CD103","DNT","0.425","0.003","0.742","0.006","1","0"
"CD66B","DNT","0.991","-0.001","0.641","0.003","0.742","0.002"
"CCR2","DNT","0.063","-0.086","0.945","-0.026","0.148","-0.134"
"CD163","DNT","0.043","-0.003","0.383","0.005","0.945","0.001"
"CD123","DNT","0.131","-0.009","0.945","0.003","0.641","-0.006"
"CCR5","DNT","0.849","-0.011","0.547","0.019","0.641","0.024"
"CLEC9A","DNT","0.001","-0.055","0.547","0.019","0.383","-0.035"
"CD11C","DNT","0","0.07","0.383","-0.019","0.055","0.062"
"CD141","DNT","0.537","-0.002","0.945","0.002","0.461","0.004"
"CD80","DNT","0.305","-0.003","0.844","0.004","1","0"
"TLR4","DNT","0.849","0.001","0.25","0.006","0.383","0.005"
"CD172AB","DNT","0.006","0.03","0.945","-0.002","0.313","0.015"
"CD40","DNT","0.316","-0.001","0.945","0.002","1","0.001"
"PDL2","DNT","0.017","-0.123","0.383","0.098","0.742","-0.036"
"CCR7","DNT","0.001","0.085","0.313","0.076","0.078","0.154"
"CD206","DNT","0.902","0","0.742","0.003","0.109","0.008"
"CD33","DNT","0.831","0","0.313","0.01","0.742","0.015"
"HLADR","DNT","0","0.247","0.25","0.143","0.008","0.378"
"CD68","DNT","0.779","-0.002","0.742","0.002","1","0"
"CD15","DNT","0.305","-0.007","0.039","0.017","0.461","0.008"
"CXCR4","DNT","0.522","0.003","0.148","0.242","0.844","0.001"
"CD116","DNT","0.711","-0.007","0.109","0.015","0.844","-0.014"
"PDL1","DNT","0.017","0.016","0.383","0.02","0.461","0.029"
"CD135","DNT","0.316","-0.003","0.313","0.01","0.313","0.006"
"CD16","DNT","0.522","0.012","0.547","0.026","0.547","0.022"
"Arg1","DNT","0.662","-0.003","0.844","-0.006","1","-0.004"
"CD3","Early Myelocyte","0.028","-0.032","0.078","-0.065","0.008","-0.12"
"CD19","Early Myelocyte","0.236","0.002","0.547","-0.002","0.008","-0.016"
"CD117","Early Myelocyte","0.479","0.002","0.055","-0.022","0.008","-0.02"
"CD11B","Early Myelocyte","0.92","0.001","0.461","-0.038","0.641","-0.018"
"CD4","Early Myelocyte","0.002","-0.04","0.383","0.005","0.078","-0.069"
"CD8","Early Myelocyte","0.001","0.062","0.078","-0.076","0.844","0.004"
"CXCR2","Early Myelocyte","0.008","-0.012","0.313","0.006","0.461","-0.009"
"CD14","Early Myelocyte","0.567","-0.012","0.844","0.007","0.844","0.011"
"CD1C","Early Myelocyte","0.374","0.001","0.383","0.001","0.742","0.002"
"FCERI","Early Myelocyte","0.056","-0.005","0.383","0.004","1","-0.004"
"CD103","Early Myelocyte","0.077","0.003","0.844","0","0.547","0.001"
"CD66B","Early Myelocyte","0.038","-0.003","0.461","-0.002","0.313","-0.003"
"CCR2","Early Myelocyte","0.001","0.026","0.547","0.006","0.008","0.033"
"CD163","Early Myelocyte","0.937","0","0.641","0.001","0.945","0.001"
"CD123","Early Myelocyte","0.955","0","0.547","0.044","0.641","0.014"
"CCR5","Early Myelocyte","0","0.18","0.039","0.105","0.008","0.323"
"CLEC9A","Early Myelocyte","0.164","-0.021","0.039","0.079","0.25","0.051"
"CD11C","Early Myelocyte","0","0.153","0.742","-0.001","0.078","0.186"
"CD141","Early Myelocyte","0","-0.186","0.039","0.083","0.078","-0.22"
"CD80","Early Myelocyte","0.255","-0.004","0.055","0.007","0.742","0"
"TLR4","Early Myelocyte","0.245","0.004","0.25","0.009","0.25","0.017"
"CD172AB","Early Myelocyte","0.973","0.004","0.461","0.033","0.742","0.045"
"CD40","Early Myelocyte","0","0.012","0.055","0.044","0.008","0.064"
"PDL2","Early Myelocyte","0.614","-0.027","0.023","0.224","0.109","0.183"
"CCR7","Early Myelocyte","0.245","0.011","0.195","0.021","0.742","0.019"
"CD206","Early Myelocyte","0.614","0.001","0.016","0.011","0.148","0.012"
"CD33","Early Myelocyte","0.508","-0.018","0.547","-0.011","0.641","-0.041"
"HLADR","Early Myelocyte","0.06","0.077","0.078","0.115","0.25","0.185"
"CD68","Early Myelocyte","0.92","0","0.016","0.019","0.109","0.02"
"CD15","Early Myelocyte","0.063","0.002","0.016","0.003","0.055","0.004"
"CXCR4","Early Myelocyte","0.955","-0.003","0.039","0.095","0.844","-0.023"
"CD116","Early Myelocyte","0.762","-0.007","0.313","0.014","0.641","0.019"
"PDL1","Early Myelocyte","0.012","0.01","0.078","0.019","0.023","0.028"
"CD135","Early Myelocyte","0.009","-0.006","0.078","0.004","0.25","-0.004"
"CD16","Early Myelocyte","0","0.109","0.547","0.055","0.078","0.148"
"Arg1","Early Myelocyte","0.056","-0.015","0.742","-0.004","0.742","-0.015"
"CD3","Granulocytes","0.53","0.096","0.375","-0.549","0.547","-0.373"
"CD19","Granulocytes","0.301","-0.034","0.219","0.066","0.641","-0.032"
"CD117","Granulocytes","0.111","0.023","0.688","0.034","0.844","0.011"
"CD11B","Granulocytes","0.804","-0.002","0.469","0.315","0.313","0.32"
"CD4","Granulocytes","0.611","0.118","0.813","-0.477","1","-0.161"
"CD8","Granulocytes","0.546","-0.056","0.469","-0.268","1","-0.265"
"CXCR2","Granulocytes","0.562","-0.03","0.109","0.379","0.25","0.242"
"CD14","Granulocytes","0.515","-0.067","0.578","0.128","0.742","0.002"
"CD1C","Granulocytes","0.804","0.004","0.156","0.226","0.353","0.168"
"FCERI","Granulocytes","0.75","0.011","0.109","0.222","0.109","0.204"
"CD103","Granulocytes","0.822","0.011","1","-0.042","0.313","-0.058"
"CD66B","Granulocytes","0.185","-0.086","0.469","0.192","0.945","0.144"
"CCR2","Granulocytes","0.336","0.051","0.813","-0.012","0.383","0.071"
"CD163","Granulocytes","0.611","-0.035","0.375","0.126","0.25","0.083"
"CD123","Granulocytes","0.562","-0.016","0.078","0.229","0.195","0.181"
"CCR5","Granulocytes","0.004","0.2","0.578","0.153","0.25","0.351"
"CLEC9A","Granulocytes","0.22","-0.046","0.375","0.173","0.844","0.01"
"CD11C","Granulocytes","0.123","0.095","0.297","0.11","0.641","0.29"
"CD141","Granulocytes","0.258","-0.025","0.578","0.152","0.945","0.06"
"CD80","Granulocytes","0.229","0.025","0.375","0.169","0.195","0.202"
"TLR4","Granulocytes","0.129","-0.036","0.813","0.026","0.844","-0.045"
